관측소,Station ID,obs_cd,label,unit,source
이어도,ieodo,온도1,기온,℃,label
이어도,ieodo,온도2,기온,℃,label
이어도,ieodo,상대습도1,습도,%,label
이어도,ieodo,상대습도2,습도,%,label
이어도,ieodo,기압,기압,hPa,label
이어도,ieodo,풍속1,풍속,m/s,label
이어도,ieodo,풍속2,풍속,m/s,label
이어도,ieodo,풍향1,풍향,deg,label
이어도,ieodo,풍향2,풍향,deg,label
이어도,ieodo,돌풍1,돌풍,m/s,label
이어도,ieodo,돌풍2,돌풍,m/s,label
이어도,ieodo,유의파고1,유의파고,m,label
이어도,ieodo,유의파고2,유의파고,m,label
이어도,ieodo,유의파주기1,유의파주기,s,label
이어도,ieodo,유의파주기2,유의파주기,s,label
이어도,ieodo,최대파고1,최대파고,m,label
이어도,ieodo,파향1,파향,deg,label
이어도,ieodo,SBE37SIP_38m_T,수온,℃,label
이어도,ieodo,SBE37SIP_5m_T,수온,℃,label
이어도,ieodo,SBE37_20m_Temp,수온,℃,label
이어도,ieodo,SBE37_5m_Temp,수온,℃,label
이어도,ieodo,수온1,수온,℃,label
이어도,ieodo,수온3,수온,℃,label
이어도,ieodo,수온5,수온,℃,label
이어도,ieodo,SBE37SIP_38m_S,염분,psu,label
이어도,ieodo,SBE37SIP_5m_S,염분,psu,label
이어도,ieodo,SBE37_20m_Sal,염분,psu,label
이어도,ieodo,SBE37_5m_Sal,염분,psu,label
이어도,ieodo,전기전도도1,전도도,S/m,label
이어도,ieodo,전기전도도3,전도도,S/m,label
이어도,ieodo,전기전도도5,전도도,S/m,label
이어도,ieodo,표층유속,표층유속,cm/s,label
이어도,ieodo,표층유향,표층유향,deg,label
이어도,ieodo,일사량,일사량,W/m²,label
이어도,ieodo,자외일사,일사량,W/m²,label
이어도,ieodo,일조시간,일조시간,hr,label
이어도,ieodo,강우계,강우량,mm,label
이어도,ieodo,조위,조위/수위,cm,label
이어도,ieodo,축전지전압,배터리/전원,V,name
이어도,ieodo,AirGap(m),미분류,m,paren
이어도,ieodo,HPIC,미분류,,empty
이어도,ieodo,SBE37SIP_38m_P,미분류,dbar,name
이어도,ieodo,SBE37SIP_5m_P,미분류,dbar,name
이어도,ieodo,수심1,미분류,m,name
이어도,ieodo,수심3,미분류,m,name
이어도,ieodo,수심5,미분류,m,name
이어도,ieodo,운고1,미분류,m,name
이어도,ieodo,운고2,미분류,m,name
이어도,ieodo,운량1,미분류,,empty
이어도,ieodo,운량2,미분류,,empty
이어도,ieodo,유량계_메인,미분류,,empty
이어도,ieodo,유량계_서브,미분류,,empty
가거초,gageocho,온도습도계1 온도,기온,℃,label
가거초,gageocho,온도습도계2 온도,기온,℃,label
가거초,gageocho,온도습도계1 습도,습도,%,label
가거초,gageocho,온도습도계2 습도,습도,%,label
가거초,gageocho,기압계1 기압,기압,hPa,label
가거초,gageocho,기압계2 기압,기압,hPa,label
가거초,gageocho,풍향풍속계1 풍속,풍속,m/s,label
가거초,gageocho,풍향풍속계2 풍속,풍속,m/s,label
가거초,gageocho,풍향풍속계1 풍향,풍향,deg,label
가거초,gageocho,풍향풍속계2 풍향,풍향,deg,label
가거초,gageocho,풍향풍속계1 돌풍,돌풍,m/s,label
가거초,gageocho,Range_유의파고,유의파고,m,label
가거초,gageocho,Wave_유의파고,유의파고,m,label
가거초,gageocho,Range_유의파주기,유의파주기,s,label
가거초,gageocho,Wave_유의파주기,유의파주기,s,label
가거초,gageocho,Range_최대파고,최대파고,m,label
가거초,gageocho,Wave_최대파고,최대파고,m,label
가거초,gageocho,Wave_파향,파향,deg,label
가거초,gageocho,CT_수온,수온,℃,label
가거초,gageocho,CT_염분,염분,psu,label
가거초,gageocho,CT_전도도,전도도,S/m,label
가거초,gageocho,CT_밀도,밀도,kg/m³,label
